#,名称,評価,シナリオ,キャラクター,演出,音楽,作画,年度,視聴回数,ジャンル,視聴話数,全話数,ステータス,備考
,ソードアート・オンライン アリシゼーション War of Underworld,,,,,,,2019,,,,,,
,ぼくたちは勉強ができない！ 第2期,,,,,,,2019,,,,,,
,食戟のソーマ 神ノ皿,,,,,,,2019,,,,,,
,俺を好きなのはお前だけかよ,,,,,,,2019,,,,,,
,放課後さいころ倶楽部,,,,,,,2019,,,,,,
,嫌な顔されながらおパンツ見せてもらいたい２,,,,,,,2019,,,,,,
,戦×恋,,,,,,,2019,,,,,,
,アズールレーン,,,,,,,2019,,,,,,
,理系が恋に落ちたので証明してみた。,,,,,,,2020,,,,,,
,異種族レビュアーズ,,,,,,,2020,,,,,,
